Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
45333;;Caseara;9;15;9;11;8;13;276;NA;NA;44;10;3;14;22;6;12;93;20;14;NA;NA;0;1;1;2;0;0;0;NA
45302;;Caseara;10;16;12;12;10;13;256;NA;NA;40;12;4;14;23;6;11;86;19;14;6;NA;0;1;0;2;0;0;1;NA
45314;;Caseara;9;16;10;11;8;12;247;2;0;41;10;4;14;23;7;11;84;20;13;5;NA;0;1;0;2;0;0;0;0
45309;;Caseara;9;13;9;10;9;14;244;NA;NA;39;9;3;14;22;6;10;95;19;12;NA;NA;0;0;1;2;0;0;0;NA
45305;;Caseara;10;14;9;11;8;13;NA;NA;NA;NA;NA;4;14;21;5;11;NA;21;13;NA;NA;0;1;1;2;0;0;1;NA
45306;;Caseara;10;14;9;10;8;15;244;NA;NA;39;9;2;14;22;6;11;86;19;13;NA;NA;0;1;1;2;0;0;0;NA
45331;;Caseara;8;14;10;11;9;13;245;3;3;44;9;4;14;25;5;13;86;20;14;6;NA;0;1;0;2;0;0;1;0
45324;;Caseara;9;14;9;10;8;14;241;NA;NA;40;11;4;14;22;6;12;84;19;15;7;12;0;1;0;2;0;0;0;0
45317;;Caseara;9;14;10;10;8;13;265;2;0;42;11;3;15;23;7;12;80;19;14;5;NA;0;1;1;0;1;0;0;0
45327;;Caseara;10;14;10;12;10;16;245;NA;NA;40;11;4;15;22;7;12;78;20;13;7;NA;0;1;1;0;0;0;0;0
45332;;Caseara;9;14;10;10;8;14;253;5;2;37;10;5;14;20;6;10;84;19;14;6;12;0;1;0;2;1;0;0;0
45321;;Caseara;9;14;10;12;10;16;266;4;4;43;11;3;16;21;7;11;82;NA;14;6;NA;0;1;1;0;0;0;1;0
45311;;Caseara;9;13;10;12;9;15;NA;NA;NA;NA;NA;NA;NA;NA;7;12;NA;19;14;NA;NA;0;1;1;0;0;0;1;NA
45310;;Caseara;9;14;11;10;8;14;246;NA;NA;40;9;3;14;22;6;11;83;20;14;NA;NA;0;1;1;2;0;0;0;NA
45307;;Caseara;10;13;11;10;8;15;268;NA;NA;41;10;2;14;21;6;11;82;19;13;7;NA;0;1;1;2;0;0;1;NA
45313;;Caseara;9;13;11;12;10;15;NA;NA;NA;NA;NA;2;14;20;6;11;86;20;14;NA;NA;0;1;1;2;0;0;1;NA
45336;;Caseara;9;13;9;12;10;14;268;NA;NA;42;9;2;14;20;6;11;76;19;13;5;NA;0;1;1;2;0;0;0;NA
45323;;Caseara;10;11;10;10;8;13;250;NA;NA;47;11;2;14;23;6;13;84;20;14;NA;NA;0;1;1;2;0;0;0;NA
45329;;Caseara;9;15;12;12;10;15;NA;NA;NA;NA;NA;3;14;22;8;13;82;18;14;NA;NA;0;1;0;2;1;0;1;NA
45325;;Caseara;9;14;10;12;8;14;238;3;4;51;12;5;16;NA;7;12;89;22;14;7;NA;0;1;1;2;0;0;0;0
45312;;Caseara;8;15;11;11;8;11;241;2;0;38;10;5;14;22;7;10;93;20;13;7;NA;0;1;0;2;1;0;0;0
45315;;Caseara;9;15;13;10;9;14;245;NA;NA;39;9;4;14;20;7;10;87;21;14;NA;NA;0;1;1;2;0;0;0;NA
