"","ID","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Locality","Brazilian State","Latitude","Longitude","gymno_clades","Species","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"79","14555",NA,NA,NA,"CHUNB","SIM","SIM","Palmas","Palmas","TO",-10.18914,-48.10853,NA,"G. amarali Clade F","38","KM283293/ KM283333"
"80","15781",NA,NA,NA,"GRC","SIM",NA,NA,"Paranã","TO",NA,NA,NA,"G. amarali Clade G","39","KM283300/ KM283340"
"81","15869",NA,NA,NA,"GRC","SIM",NA,NA,"Paranã","TO",NA,NA,NA,"G. amarali Clade G","40","KM283301/ KM283341"
"82","37090",NA,NA,NA,"CHUNB","SIM","SIM","Parana","Paranã","TO",-12.75309,-47.75906,7,"G. amarali Clade G","41","KM283302/ KM283348"
"83","37125",NA,NA,NA,"CHUNB","SIM","SIM","Parana","Paranã","TO",-12.75309,-47.75906,7,"G. amarali Clade G","42","KM283303/ KM283349"
"84","37128",NA,NA,NA,"CHUNB","SIM","SIM","Parana","Paranã","TO",-12.75309,-47.75906,7,"G. amarali Clade G","41","KM283304/ KM283350"
"85","3949",NA,NA,NA,"MRT","SIM",NA,NA,"Peixe","TO",NA,NA,NA,"G. amarali Clade H","43","KM283323/ KM283409"
"86","4459",NA,NA,NA,"MRT","SIM",NA,NA,"Peixe","TO",NA,NA,NA,"G. amarali Clade H","44","KM283254/ KM283410"
"87","67394",NA,NA,NA,"CHUNB","SIM",NA,NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283307/ KM283387"
"88","67395",NA,NA,NA,"CHUNB","SIM",NA,NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283308/ KM283388"
"89","67396",NA,NA,NA,"CHUNB","SIM",NA,NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283309/ KM283389"
"90","67441",NA,NA,NA,"CHUNB","SIM",NA,NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","46","KM283310/ KM283390"
"91","67443",NA,NA,NA,"CHUNB","SIM",NA,NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283311/ KM283391"
"92","15533",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283312/ KM283334"
"93","15558",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283313/ KM283335"
"94","15560",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283314/ KM283336"
"95","15566",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade G","27","KM283317/ KM283337"
"96","15568",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283315/ KM283338"
"97","15569",NA,NA,NA,"GRC","SIM",NA,NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283316/ KM283339"
"98","37161",NA,NA,NA,"GRC","SIM","SIM","SaoDomingos","São Domingos","GO",-13.44979,-46.4481,1,"G. amarali Clade G","48","KM283318/ KM283351"
"99","6428",NA,NA,NA,"MRT","SIM",NA,NA,"São Salvador","TO",NA,NA,NA,"G. amarali Clade H","49","KM283324/ KM283411"
"100","958",NA,NA,NA,"LG","SIM",NA,NA,"Porto Seguro","BA",NA,NA,NA,"G. darwinii A","51","AY630388.1/ NA"
"101","991",NA,NA,NA,"LG","SIM",NA,NA,"Porto Seguro","BA",NA,NA,NA,"G. darwinii A","51","AY630392.1/ NA"
"102","09443",NA,NA,NA,"CHUNB","SIM",NA,NA,"Presidente Kennedy","ES",NA,NA,NA,"G. darwinii",NA,"NA/ NA"
"103","09453",NA,NA,NA,"CHUNB","SIM",NA,NA,"Presidente Kennedy","ES",NA,NA,NA,"G. darwinii",NA,"NA/ NA"
"104","13546",NA,NA,NA,"CHUNB","SIM",NA,NA,"Presidente Kennedy","ES",NA,NA,NA,"G. darwinii",NA,"NA/ NA"
"105","1740",NA,NA,NA,"MD","SIM",NA,NA,"Una","BA",NA,NA,NA,"G. darwinii B","52","AY630367.1/ NA"
"106","1742",NA,NA,NA,"MD","SIM",NA,NA,"Una","BA",NA,NA,NA,"G. darwinii B","53","AY630368.1/ NA"
"107","56643",NA,NA,NA,"CHUNB","SIM",NA,NA,"Mamanguape","PB",NA,NA,NA,"G. geckoides","54","KM283264/ KM283400"
"108","56645",NA,NA,NA,"CHUNB","SIM",NA,NA,"Mamanguape","PB",NA,NA,NA,"G. geckoides","54","KM283266/ KM283402"
"109","56537",NA,NA,NA,"CHUNB","SIM",NA,NA,"Milagres","CE",NA,NA,NA,"G. geckoides","55","KM283326/ KM283403"
"110","57388",NA,NA,NA,"CHUNB","SIM",NA,NA,"Tianguá","CE",NA,NA,NA,"P. pollicaris","56","JQ827177.1/ JQ827663.1"
"111","57389",NA,NA,NA,"CHUNB","SIM",NA,NA,"Tianguá","CE",NA,NA,NA,"P. pollicaris","57","JQ827190.1/ JQ827664.1"
"112","57403",NA,NA,NA,"CHUNB","SIM",NA,NA,"Tianguá","CE",NA,NA,NA,"P. pollicaris","58","JQ827186.1/ JQ827667.1"
"113","42411",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"114","42420",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"115","42426",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"116","42418",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"117","42414",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"118","42421",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"119","42417",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"120","42423",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"121","42422",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"122","42419",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"123","42416",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"124","42412",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"125","42425",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"126","42413",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"127","42415",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"128","42424",NA,NA,NA,"CHUNB",NA,"SIM","Almas",NA,NA,-11.473671,-47.121126,9,NA,NA,NA
"129","12436",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"130","403",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"131","402",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"132","407",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"133","410",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"134","413",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
