"","ID","UF","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"91","14510","TO","522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)","-11.24","-46.81",NA,"G. amarali",NA,NA
"92","45278","TO","185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caseara","-9.37","-49.84",NA,"G. amarali",NA,NA
"93","45318","TO","186",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Caseara","-9.37229","-49.84295",5,"G. amarali Clade H","9","KM283251/ KM283356"
"94","45324","TO","185",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Caseara","-9.37229","-49.84295",5,"G. amarali",NA,NA
"95","45336","TO","186",NA,NA,NA,"SIM",2733.41,389,"SIM","CHUNB","SIM","SIM","Caseara","-9.37229","-49.84295",5,"G. amarali Clade H","9","KM283253/ KM283358"
"96","45321","TO","186",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Caseara","-9.37229","-49.84295",5,"G. amarali Clade H","10","KM283252/ KM283357"
"97","45283","TO","186",NA,NA,NA,NA,NA,NA,NA,NA,"SIM",NA,"Caseara","-9.37","-49.84",NA,"G. amarali Clade H","9","KM283250/ KM283355"
"98","62616","TO","404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combinado","-12.81","-46.48",NA,"G. amarali",NA,NA
"99","62569","TO","288",NA,NA,NA,NA,2125.05,390,"SIM",NA,NA,NA,"Figueiropolis","-12.18","-48.96",NA,"G. amarali",NA,NA
"100","1759","TO","206",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","-6.5625","-47.4525",12,"G. amarali Clade H","16","KM283259/ KM283395"
"101","1808","TO","206",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","-6.5625","-47.4525",12,"G. amarali Clade H","17","KM283260/ KM283396"
"102","7479","TO","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guarai","-8.83","-48.52",NA,"G. amarali",NA,NA
"103","7542","TO","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guarai","-8.83","-48.52",NA,"G. amarali",NA,NA
"104","7598","TO","266",NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Guarai","-8.83","-48.52",NA,"G. amarali Clade H","18","KM283263/ KM283414"
"105","7552","TO","266",NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Guarai","-8.83","-48.52",NA,"G. amarali Clade H","18","KM283262/ KM283413"
"106","8991","TO","487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)","-9.85","-48.32",NA,"G. amarali",NA,NA
"107","6918","TO","487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)","-9.85","-48.32",NA,"G. amarali",NA,NA
"108","14241","TO","487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)","-9.85","-48.32",NA,"G. amarali",NA,NA
"109","6889","TO","487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)","-9.85","-48.32",NA,"G. amarali",NA,NA
"110","215","TO","229",NA,NA,NA,NA,763.63,378,"SIM","LAJ",NA,NA,"Lajeado","-9.85","-48.32",NA,"G. amarali",NA,NA
"111","9034","TO","487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)","-9.85","-48.32",NA,"G. amarali",NA,NA
"112","8674","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"113","8743","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"114","8675","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"115","8841","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"116","8928","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"117","28222","TO","629",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","-10.70224","-46.41278",10,"G. amarali Clade H","21","KM283273/ KM283347"
"118","8808","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"119","8980","TO","632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros","-10.7","-46.41",NA,"G. amarali",NA,NA
"120","28224","TO","632",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB",NA,"SIM","Mateiros","-10.70224","-46.41278",10,"G. amarali",NA,NA
"121","28219","TO","629",NA,NA,NA,"SIM",1546.24,379,"SIM","CHUNB","SIM","SIM","Mateiros","-10.70224","-46.41278",10,"G. amarali Clade H","21","KM283271/ KM283345"
