"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"73",120,"45318","CHUNB","Caseara",NA,NA,NA,NA,NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"82",121,"45324","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM","TO",-9.37229,-49.84295,185,"G. amarali",NA,5
"92",122,"45336","CHUNB","Caseara",NA,NA,"SIM","SIM",NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"102",123,"45321","CHUNB","Caseara",NA,NA,NA,NA,NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"122",125,"45319","CHUNB","Caseara",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"132",126,"45329","CHUNB","Caseara",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"142",127,"45316","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"153",128,"45304","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"163",129,"45322","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"173",130,"45328","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"183",131,"45334","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"193",132,"45326","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"203",133,"45330","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"214",134,"45335","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"223",135,"45333","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"232",136,"45302","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"242",137,"45314","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"252",138,"45309","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"262",139,"45305","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"272",140,"45306","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"282",141,"45331","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"63",782,"55880","CHUNB","NovaXavantina",NA,NA,NA,NA,"SIM",NA,NA,"MT",-14.69,-52.34,283,NA,NA,NA
"74",783,"55887","CHUNB","NovaXavantina",NA,NA,NA,NA,"SIM",NA,NA,"MT",-14.69,-52.34,283,NA,NA,NA
"83",784,"55888","CHUNB","NovaXavantina",NA,NA,NA,NA,"SIM",NA,NA,"MT",-14.69,-52.34,283,NA,NA,NA
"93",785,"55890","CHUNB","NovaXavantina",NA,NA,NA,NA,"SIM",NA,NA,"MT",-14.69,-52.34,283,NA,NA,NA
"103",786,"55889","CHUNB","NovaXavantina",NA,NA,NA,NA,"SIM",NA,NA,"MT",-14.69,-52.34,283,NA,NA,NA
"113",788,"55883","CHUNB","NovaXavantina",NA,"SIM","SIM",NA,NA,"SIM","SIM","MT",-14.41,-52.2,624,"G. amarali Clade E","B",4
"124",789,"55882","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,NA,"SIM","MT",-14.41,-52.2,619,"G. amarali",NA,4
"133",790,"55881","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,"SIM","SIM","MT",-14.41,-52.2,624,"G. amarali Clade E",NA,4
"143",791,"55884","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B",NA,4
"154",792,"63195","GRC","NovaXavantina",NA,NA,NA,NA,NA,"SIM",NA,"MT",-14.69,-52.34,292,"G. amarali Clade B",NA,NA
"164",793,"55885","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B",NA,4
"174",794,"55886","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,NA,"SIM","MT",-14.41,-52.2,283,"G. amarali",NA,4
"184",795,"63204","GRC","NovaXavantina",NA,NA,NA,NA,NA,"SIM",NA,"MT",-14.69,-52.34,292,"G. amarali Clade B",NA,NA
"194",796,"55880","CHUNB","NovaXavantina",NA,"SIM","SIM",NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B","B",4
"204",797,"55887","CHUNB","NovaXavantina",NA,"SIM","SIM",NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B","B",4
"215",798,"55888","CHUNB","NovaXavantina",NA,NA,"SIM",NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B",NA,4
"224",799,"55890","CHUNB","NovaXavantina",NA,NA,NA,NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B",NA,4
"233",800,"55889","CHUNB","NovaXavantina",NA,"SIM","SIM",NA,NA,"SIM","SIM","MT",-14.41,-52.2,292,"G. amarali Clade B","B",4
"243",801,"63203","GRC","NovaXavantina",NA,NA,NA,NA,NA,"SIM",NA,"MT",-14.69,-52.34,292,"G. amarali Clade B",NA,NA
"253",802,"21228","GRC","NovaXavantina",NA,NA,NA,"SIM","SIM",NA,NA,"MT",-14.69,-52.34,283,"G. amarali",NA,NA
"110",968,"52612","CHUNB","Peixe",NA,NA,NA,NA,NA,NA,"SIM","TO",-12.03333333,-48.35,326,"G. amarali",NA,6
"216",969,"52609","CHUNB","Peixe",NA,NA,NA,NA,NA,NA,"SIM","TO",-12.03333333,-48.35,326,"G. amarali",NA,6
"37",971,"52610","CHUNB","Peixe",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.03333333,-48.35,NA,"G. amarali",NA,6
"43",972,"52608","CHUNB","Peixe",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.03333333,-48.35,NA,"G. amarali",NA,6
"53",973,"52607","CHUNB","Peixe",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.03333333,-48.35,NA,"G. amarali",NA,6
"64",995,"24311","GRC","Peixe",NA,NA,NA,NA,"SIM",NA,NA,"TO",-11.88,-48.77,293,"G. amarali",NA,NA
"75",996,"62666","CHUNB","Peixe",NA,NA,NA,NA,"SIM",NA,NA,"TO",-12.03,-48.35,326,"G. amarali",NA,NA
"84",997,"24310","GRC","Peixe",NA,NA,NA,"SIM","SIM",NA,NA,"TO",-12.03,-48.35,326,"G. amarali",NA,NA
"94",999,"52612","CHUNB","Peixe",NA,NA,NA,NA,"SIM",NA,NA,"TO",-12.03,-48.35,326,NA,NA,NA
"104",1000,"52609","CHUNB","Peixe",NA,NA,NA,NA,"SIM",NA,NA,"TO",-12.03,-48.35,326,NA,NA,NA
"114",156,"53290","CHUNB","Cavalcante",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"217",157,"53292","CHUNB","Cavalcante",NA,NA,NA,NA,NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"38",158,"53294","CHUNB","Cavalcante",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.79,-47.45,961,"G. amarali",NA,7
"44",159,"53293","CHUNB","Cavalcante",NA,NA,NA,"SIM",NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"54",160,"53291","CHUNB","Cavalcante",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.79,-47.45,961,"G. amarali",NA,7
"65",161,"53290","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"76",162,"53292","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"85",163,"53294","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"95",164,"53293","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"105",165,"53291","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"106",718,"53051","CHUNB","MonteAlegredeGoias",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.25,-46.9,564,NA,NA,NA
"115",719,"53059","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"125",720,"53062","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"134",721,"53061","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"144",722,"53052","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"155",723,"53054","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"165",724,"53058","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"175",725,"53056","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"185",726,"53060","CHUNB","MonteAlegre",NA,NA,"SIM","SIM",NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"195",727,"53055","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"205",728,"53051","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"218",729,"53068","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"225",730,"53066","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"234",731,"53083","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"244",732,"53078","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"254",733,"53082","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"263",734,"53074","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"273",735,"53084","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"283",736,"53075","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"292",737,"53077","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"301",738,"53076","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"219",864,"37125","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"45",866,"37128","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"66",868,"37090","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"77",869,"37088","CHUNB","Parana","SIM","SIM","SIM",NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali","G",7
